_ws.col.No.,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Src_port,_ws.col.Dst_port,_ws.col.Delta_time,_ws.col.TTL
"254","3617.205449","47.100.95.105","172.20.10.2","TCP","444","13531","48260","5.955343","49"
"255","3617.205605","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000156","64"
"256","3617.206479","47.100.95.105","172.20.10.2","TCP","444","13531","48260","0.000874","49"
"257","3617.206614","172.20.10.2","47.100.95.105","TCP","78","48260","13531","0.000135","64"
"258","3617.206653","47.100.95.105","172.20.10.2","TCP","444","13531","48260","0.000039","49"
"259","3617.206721","172.20.10.2","47.100.95.105","TCP","78","48260","13531","0.000068","64"
"260","3632.609831","47.100.95.105","172.20.10.2","TCP","444","13531","48260","15.403110","49"
"261","3632.609929","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000098","64"
"262","3632.675016","47.100.95.105","172.20.10.2","TCP","444","13531","48260","0.065087","49"
"263","3632.675136","172.20.10.2","47.100.95.105","TCP","78","48260","13531","0.000120","64"
"264","3682.806684","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.131548","64"
"265","3683.013616","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.206932","49"
"266","3734.006698","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.993082","64"
"267","3734.239243","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.232545","49"
"268","3754.230210","47.100.95.105","172.20.10.2","TCP","444","13531","48260","19.990967","49"
"269","3754.230363","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000153","64"
"270","3760.684416","47.100.95.105","172.20.10.2","TCP","444","13531","48260","6.454053","49"
"271","3760.684559","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000143","64"
"272","3760.686172","47.100.95.105","172.20.10.2","TCP","444","13531","48260","0.001613","49"
"273","3760.686306","172.20.10.2","47.100.95.105","TCP","78","48260","13531","0.000134","64"
"274","3810.806685","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.120379","64"
"275","3811.125735","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.319050","49"
"276","3862.006692","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.880957","64"
"277","3862.227814","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.221122","49"
"278","3882.339476","47.100.95.105","172.20.10.2","TCP","444","13531","48260","20.111662","49"
"279","3882.339638","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000162","64"
"280","3882.456090","47.100.95.105","172.20.10.2","TCP","444","13531","48260","0.116452","49"
"281","3882.456205","172.20.10.2","47.100.95.105","TCP","78","48260","13531","0.000115","64"
"282","3933.046686","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.590481","64"
"283","3933.258358","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.211672","49"
"284","3984.886696","172.20.10.2","47.100.95.105","TCP","66","48260","13531","51.628338","64"
"285","3985.091497","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.204801","49"
"286","4003.967314","47.100.95.105","172.20.10.2","TCP","444","13531","48260","18.875817","49"
"287","4003.967461","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000147","64"
"288","4003.967943","47.100.95.105","172.20.10.2","TCP","444","13531","48260","0.000482","49"
"289","4003.968016","172.20.10.2","47.100.95.105","TCP","78","48260","13531","0.000073","64"
"290","4054.006700","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.038684","64"
"291","4054.212592","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.205892","49"
"292","4080.773456","47.100.95.105","172.20.10.2","TCP","444","13531","48260","26.560864","49"
"293","4080.773591","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000135","64"
"294","4130.806680","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.033089","64"
"295","4131.018147","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.211467","49"
"296","4134.842191","47.100.95.105","172.20.10.2","TCP","444","13531","48260","3.824044","49"
"297","4134.842344","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000153","64"
"298","4184.846747","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.004403","64"
"299","4185.262048","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.415301","49"
"300","4235.766715","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.504667","64"
"301","4235.992785","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.226070","49"
"302","4266.324340","47.100.95.105","172.20.10.2","TCP","444","13531","48260","30.331555","49"
"303","4266.324493","172.20.10.2","47.100.95.105","TCP","66","48260","13531","0.000153","64"
"304","4316.406692","172.20.10.2","47.100.95.105","TCP","66","48260","13531","50.082199","64"
"305","4316.635405","47.100.95.105","172.20.10.2","TCP","66","13531","48260","0.228713","49"
